scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habit,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail
Asclepias incarnata,Swamp Milkweed,no,yes,yes,no,yes,yes,late spring,3'-6',"24""-36""",garden,8,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASIN,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASIN,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASIN
Asclepias syriaca,Common Milkweed,no,no,yes,no,yes,no,late spring,3'-6',"24""-36""",garden,9,7,8,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASSY,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASSY,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASSY
Asclepias tuberosa,Butterfly Milkweed,no,no,yes,yes,yes,no,late spring,1'-3',"12""-24""",garden,8,8,5,9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASTU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASTU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASTU
Asclepias verticillata,Whorled Milkweed,no,yes,yes,yes,no,no,late spring,2'-4',"12""-18""",garden,7,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASVE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASVE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASVE
Aster divaricatus,White Wood Aster,yes,yes,no,yes,no,no,late summer,1'-3',"18""-24""",garden,7,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUDI16,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUDI16,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUDI16
Aster laevis,Smooth Blue Aster,no,no,yes,yes,no,no,late summer,2'-4',"18""-24""",garden,7,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SYLAL3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SYLAL3,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=SYLAL3
Aster novae,New England Aster,no,yes,no,no,yes,no,,,,garden,,,,,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SYNO2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SYNO2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=SYNO2
Athyrium filix,Common Ladyfern,yes,yes,no,no,yes,yes,,,,garden,,,,,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ATFI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ATFI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ATFI
Baptisia alba,White Wild Indigo,no,no,yes,yes,yes,no,late spring,3'-5',2'-3',garden,7,5,6,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BAAL,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BAAL,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=BAAL
Baptisia australis,Blue Wild Indigo,no,no,yes,no,yes,no,late spring,3'-4',3'-4',garden,7,5,5,9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BAAU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BAAU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=BAAU
Baptisia tinctoria,Horseflyweed,no,no,yes,yes,no,no,late spring,3'-5',2'-3',garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BATI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BATI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=BATI
Bouteloua curtipendula,Sideoats Grama,no,yes,yes,yes,yes,no,late spring,1'-3',1'-2',grass,7,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BOCU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=BOCU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=BOCU
Caltha palustris,Yellow Marsh Marigold,yes,yes,no,no,yes,yes,early spring,"12""-24""","12""-18""",garden,8,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPA5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPA5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAPA5
Campanula americana,American Bellflower,no,yes,no,no,yes,no,late spring,3'-5',"18""-24""",garden,4,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAAM18,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAAM18,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAAM18
Carex amphibola,Eastern Narrowleaf Sedge,yes,yes,no,no,yes,yes,N/A,"12""-18""","12""-18""",grass,7,4,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAAM8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAAM8,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAAM8
Carex appalachica,Appalachian Sedge,yes,yes,no,no,yes,yes,N/A,"12""-18""","12""-18""",grass,7,5,5,8,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAAP5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAAP5
Carex crinita,Fringed Sedge,yes,yes,no,no,yes,yes,late spring,"12""-24""","12""-18""",grass,7,5,5,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CACR6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CACR6,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CACR6
Carex grayi,Gray's Sedge,no,yes,no,no,yes,yes,late spring,"12""-24""","12""-18""",grass,6,6,5,7,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAGR5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAGR5
Carex pensylvanica,Pennsylvania Sedge,yes,yes,yes,yes,no,no,N/A,"6""-12""","12""-18""",grass,7,5,6,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPE6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPE6,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAPE6
Carex plantaginea,Plantainleaf Sedge,yes,no,no,no,yes,no,late spring,"12""-18""","12""-18""",grass,7,4,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPL4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAPL4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAPL4
Carex radiata,Eastern Star Sedge,no,yes,yes,no,yes,no,late spring,"12""-18""","12""-18""",grass,7,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CARA8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CARA8,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CARA8
Carex stricta,Upright Sedge,no,no,yes,no,yes,yes,late spring,2'-4',2'-3',grass,7,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAST8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CAST8,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CAST8
Cephalanthus occidentalis,Common Buttonbush,yes,yes,no,no,yes,yes,late spring,6'-12',6'-12',shrub,9,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CEOC2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CEOC2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CEOC2
Chasmanthium latifolium,Indian Woodoats,yes,yes,no,no,yes,no,late summer,2'-4',2'-3',grass,6,6,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CHLA5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CHLA5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CHLA5
Chelone glabra,White Turtlehead,yes,yes,yes,no,yes,yes,late summer,2'-4',"18""-24""",garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CHGL2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CHGL2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CHGL2
Cimicifuga racemosa,Black Bugbane,yes,yes,no,no,yes,no,late spring,4'-8',2'-4',garden,5,2,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRAR,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRAR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACRAR
Claytonia virginica,Virginia Springbeauty,no,yes,no,no,yes,no,early spring,"4""-8""","6""-12""",garden,4,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CLVI3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=CLVI3,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=CLVI3
Coreopsis lanceolata,Lanceleaf Tickseed,yes,yes,yes,yes,no,no,late spring,1'-3',"12""-18""",garden,7,6,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=COLA5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=COLA5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=COLA5
Cornus alternifolia,Alternateleaf Dogwood,yes,yes,no,no,yes,no,late spring,15'-25',15'-25',shrub,5,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=COAL2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=COAL2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=COAL2
Deschampsia cespitosa,Tufted Hairgrass,no,yes,no,no,no,yes,late spring,1'-3',1'-2',grass,5,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DECE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DECE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=DECE
Desmodium canadense,Showy Ticktrefoil,no,no,yes,yes,yes,no,late spring,2'-4',2'-3',garden,5,4,7,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DECA7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DECA7,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=DECA7
Dicentra cucullaria,Dutchman's Breeches,yes,yes,yes,no,yes,no,early spring,"6""-12""","6""-12""",garden,4,2,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DICU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DICU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=DICU
Diervilla lonicera,Northern Bush Honeysuckle,yes,yes,no,yes,no,no,late spring,6'-10',6'-10',shrub,5,5,9,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DILO,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DILO,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=DILO
Dryopteris marginalis,Marginal Woodfern,yes,yes,no,no,yes,no,N/A,1'-3',"12""-18""",garden,4,3,7,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DRMA4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=DRMA4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=DRMA4
Echinacea purpurea,Eastern Purple Coneflower,no,yes,yes,yes,no,no,late spring,2'-5',"18""-24""",garden,7,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ECPU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ECPU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ECPU
Elymus hystrix,Eastern Bottlebrush Grass,no,yes,yes,yes,yes,no,late spring,2'-4',2'-3',grass,6,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ELHY,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ELHY,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ELHY
Equisetum hyemale,Scouringrush Horsetail,yes,yes,yes,no,yes,yes,N/A,1'-4',"12""-24""",garden,5,4,8,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EQHY,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EQHY,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EQHY
Eragrostis spectabilis,Purple Lovegrass,no,no,yes,no,yes,no,late summer,1'-3',2'-3',grass,5,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERSP,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERSP,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ERSP
Eryngium yuccifolium,Button Eryngo,no,no,yes,no,yes,no,late summer,3'-5',2'-3',garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERYU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERYU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ERYU
Erythronium americanum,Dogtooth Violet,no,yes,no,no,yes,no,early spring,"6""-12""","6""-12""",garden,5,4,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERAM5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ERAM5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ERAM5
Eupatorium fistulosum,Trumpetweed,no,no,yes,yes,yes,no,late summer,4'-7',3'-6',garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUFI14,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUFI14,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUFI14
Eupatorium maculatum,Spotted Joe Pye Weed,no,yes,yes,no,yes,yes,late summer,4'-7',3'-6',garden,8,7,7,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUMA9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUMA9,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUMA9
Eupatorium perfoliatum,Common Boneset,yes,yes,yes,no,yes,yes,late summer,3'-6',2'-4',garden,6,5,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUPE3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUPE3,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUPE3
Eupatorium purpureum,Sweetscented Joe Pye Weed,yes,yes,yes,no,yes,no,late summer,4'-7',3'-6',garden,8,5,7,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUPU21,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUPU21,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUPU21
Euphorbia corollata,Flowering Spurge,no,no,yes,yes,no,no,late spring,"18""-24""","18""-24""",garden,5,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUCO10,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUCO10,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUCO10
Eutrochium maculatum,Spotted Joe Pye Weed,no,yes,yes,no,yes,yes,late summer,4'-7',3'-5',garden,7,7,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUMA9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=EUMA9,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=EUMA9
Gaillardia pulchella,Indian Blanket,no,yes,yes,yes,no,no,late spring,1'-3',"12""-18""",garden,8,6,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GAPU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GAPU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=GAPU
Geranium maculatum,Spotted Geranium,yes,yes,no,no,yes,no,late spring,1'-2',"18""-24""",garden,7,4,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GEMA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GEMA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=GEMA
Geum canadense,White Avens,yes,yes,no,yes,yes,no,late spring,1'-2',"12""-18""",garden,7,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GECA7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GECA7,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=GECA7
Geum rivale,Purple Avens,no,no,yes,no,no,yes,late spring,1'-3',"12""-18""",garden,7,7,6,5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GERI2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=GERI2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=GERI2
Hamamelis virginiana,American Witchhazel,yes,yes,no,yes,yes,no,late fall,10'-20',12'-15',shrub,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HAVI4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HAVI4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HAVI4
Helenium autumnale,Common Sneezeweed,no,no,yes,no,yes,no,late summer,2'-5',"18""-24""",garden,7,3,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEAU
Helianthus angustifolius,Swamp Sunflower,no,yes,no,no,no,yes,late summer,3'-8',3'-6',garden,7,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAN2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAN2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEAN2
Helianthus divaricatus,Woodland Sunflower,yes,yes,yes,yes,no,no,late summer,3'-6',2'-3',garden,7,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEDI2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEDI2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEDI2
Helianthus maximiliani,Maximilian Sunflower,no,no,yes,yes,yes,no,late summer,3'-10',3'-6',garden,7,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEMA2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEMA2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEMA2
Helianthus occidentalis,Fewleaf Sunflower,no,no,yes,yes,yes,no,late summer,3'-8',2'-3',garden,7,7,6,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEOC2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEOC2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEOC2
Helianthus strumosus,Paleleaf Woodland Sunflower,yes,yes,yes,yes,no,no,late summer,3'-6',"18""-24""",garden,7,6,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEST,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEST,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEST
Helianthus tuberosus,Jerusalem Artichoke,no,no,yes,yes,yes,no,late summer,6'-10',3'-5',garden,5,8,8,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HETU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HETU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HETU
Heliopsis helianthoides,Smooth Oxeye,no,yes,yes,yes,no,no,late spring,3'-6',"18""-24""",garden,7,7,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEHE5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEHE5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEHE5
Hepatica americana,Roundlobe Hepatica,yes,yes,no,yes,yes,no,early spring,"4""-6""","6""-12""",garden,6,4,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HENOO,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HENOO,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HENOO
Heuchera americana,American Alumroot,yes,yes,no,yes,yes,no,late spring,1'-3',"12""-18""",garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAM6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HEAM6,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HEAM6
Hydrophyllum virginianum,Eastern Waterleaf,yes,yes,no,no,yes,no,late spring,1'-3',"12""-24""",garden,7,6,7,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HYVI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=HYVI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=HYVI
Ilex verticillata,Common Winterberry,yes,yes,yes,yes,yes,yes,late spring,6'-10',6'-10',shrub,8,9,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ILVE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ILVE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ILVE
Impatiens capensis,Jewelweed,yes,no,no,no,yes,yes,late spring,3'-5',"18""-36""",garden,8,5,8,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IMCA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IMCA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=IMCA
Iris cristata,Dwarf Crested Iris,yes,yes,no,no,yes,no,early spring,"6""-12""","12""-18""",garden,5,5,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRCR,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRCR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=IRCR
Iris versicolor,Harlequin Blueflag,no,yes,yes,no,yes,yes,late spring,2'-3',"18""-24""",garden,8,4,6,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRVE2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRVE2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=IRVE2
Iris virginica,Virginia Iris,no,no,yes,no,no,yes,late spring,2'-4',"12""-18""",garden,7,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRVI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=IRVI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=IRVI
Jeffersonia diphylla,Twinleaf,no,yes,no,no,yes,no,early spring,"12""-18""",2'-3',garden,3,4,2,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=JEDI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=JEDI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=JEDI
Liatris aspera,Tall Blazing Star,no,no,yes,yes,no,no,late summer,2'-5',"12""-18""",garden,5,6,5,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LIAS,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LIAS,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=LIAS
Liatris spicata,Dense Blazing Star,no,no,yes,no,yes,no,late summer,2'-4',"18""-24""",garden,8,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LISP,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=LISP,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=LISP
