scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Adenostoma sparsifolium,Redshank,no,no,yes,yes,no,no,late spring,"12""-24""","12""-18""","shrub,tree",5,4,9,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADSP,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADSP,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADSP,https://plants.usda.gov/plant-profile/ADSP,https://en.wikipedia.org/wiki/Adenostoma_sparsifolium,https://www.wildflower.org/plants/result.php?id_plant=ADSP
Adiantum aleuticum,Aleutian Maidenhair,yes,yes,no,no,yes,yes,N/A,"12""-24""","12""-24""",flower-or-herb,4,2,2,5,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADAL,https://plants.usda.gov/plant-profile/ADAL,https://en.wikipedia.org/wiki/Adiantum_aleuticum,https://www.wildflower.org/plants/result.php?id_plant=ADAL
Adiantum capillus-veneris,Common Maidenhair,yes,yes,no,no,yes,yes,N/A,"12""-24""","12""-24""",flower-or-herb,5,2,2,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADCA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADCA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADCA,https://plants.usda.gov/plant-profile/ADCA,https://en.wikipedia.org/wiki/Adiantum_capillus-veneris,https://www.wildflower.org/plants/result.php?id_plant=ADCA
Adiantum jordanii,California Maidenhair,yes,yes,no,no,yes,yes,N/A,1'-3',"12""-18""",flower-or-herb,6,4,5,6,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADJO,https://plants.usda.gov/plant-profile/ADJO,https://en.wikipedia.org/wiki/Adiantum_jordanii,https://www.wildflower.org/plants/result.php?id_plant=ADJO
Adiantum pedatum,Northern Maidenhair,yes,yes,no,no,yes,no,N/A,"12""-24""","12""-24""",flower-or-herb,2,2,7,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADPE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADPE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADPE,https://plants.usda.gov/plant-profile/ADPE,https://en.wikipedia.org/wiki/Adiantum_pedatum,https://www.wildflower.org/plants/result.php?id_plant=ADPE
Aesculus californica,California Buckeye,no,yes,yes,yes,no,no,late spring,15'-30',15'-30',"shrub,tree",5,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AECA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AECA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AECA,https://plants.usda.gov/plant-profile/AECA,https://en.wikipedia.org/wiki/Aesculus_californica,https://www.wildflower.org/plants/result.php?id_plant=AECA
Aesculus flava,Yellow Buckeye,yes,no,no,no,yes,no,late spring,50'-75',35'-50',tree,6,5,3,5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEFL,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEFL,"USDA, adjusted","https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AEFL, removed shrub",https://plants.usda.gov/plant-profile/AEFL,https://en.wikipedia.org/wiki/Aesculus_flava,https://www.wildflower.org/plants/result.php?id_plant=AEFL
Aesculus glabra,Ohio Buckeye,yes,no,yes,no,yes,no,spring,20'-40',20'-35',tree,5,4,3,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEGL,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEGL,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AEGL,https://plants.usda.gov/plant-profile/AEGL,https://en.wikipedia.org/wiki/Aesculus_glabra,https://www.wildflower.org/plants/result.php?id_plant=AEGL
Aesculus pavia,Red Buckeye,no,yes,no,no,yes,no,early spring,10'-20',10'-15',"shrub,tree",5,5,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEPA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AEPA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AEPA,https://plants.usda.gov/plant-profile/AEPA,https://en.wikipedia.org/wiki/Aesculus_pavia,https://www.wildflower.org/plants/result.php?id_plant=AEPA
Agalinis edwardsiana,Plateau False Foxglove,no,yes,no,no,yes,yes,late spring,2'-4',"12""-18""",flower-or-herb,5,3,5,6,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGED,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGED,https://plants.usda.gov/plant-profile/AGED,https://en.wikipedia.org/wiki/Agalinis_edwardsiana,https://www.wildflower.org/plants/result.php?id_plant=AGED
Agalinis heterophylla,Prairie False Foxglove,no,yes,no,yes,yes,no,late summer,"12""-24""","12""-18""",flower-or-herb,5,5,5,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGHE4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGHE4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGHE4,https://plants.usda.gov/plant-profile/AGHE4,https://en.wikipedia.org/wiki/Agalinis_heterophylla,https://www.wildflower.org/plants/result.php?id_plant=AGHE4
Agalinis purpurea,Purple False Foxglove,yes,yes,yes,no,yes,yes,late spring,2'-4',"12""-18""",flower-or-herb,5,3,5,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPU5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPU5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGPU5,https://plants.usda.gov/plant-profile/AGPU5,https://en.wikipedia.org/wiki/Agalinis_purpurea,https://www.wildflower.org/plants/result.php?id_plant=AGPU5
Agastache cana,Mosquito Plant,no,yes,yes,yes,yes,no,late spring,2'-4',"18""-24""","flower-or-herb,shrub",8,7,5,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGCA,https://plants.usda.gov/plant-profile/AGCA,https://en.wikipedia.org/wiki/Agastache_cana,https://www.wildflower.org/plants/result.php?id_plant=AGCA
Agastache foeniculum,Blue Giant Hyssop,yes,yes,yes,no,yes,no,late spring,2'-4',"18""-24""","flower-or-herb,shrub",8,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGFO,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGFO,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGFO,https://plants.usda.gov/plant-profile/AGFO,https://en.wikipedia.org/wiki/Agastache_foeniculum,https://www.wildflower.org/plants/result.php?id_plant=AGFO
Agastache rupestris,Threadleaf Giant Hyssop,no,yes,yes,yes,yes,no,late spring,2'-3',"12""-18""","flower-or-herb,shrub",7,5,6,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGRU,https://plants.usda.gov/plant-profile/AGRU,https://en.wikipedia.org/wiki/Agastache_rupestris,https://www.wildflower.org/plants/result.php?id_plant=AGRU
Agastache urticifolia,Nettleleaf Giant Hyssop,no,yes,no,yes,yes,no,late summer,3'-6',"18""-24""","flower-or-herb,shrub",8,7,6,8,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGUR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGUR,https://plants.usda.gov/plant-profile/AGUR,https://en.wikipedia.org/wiki/Agastache_urticifolia,https://www.wildflower.org/plants/result.php?id_plant=AGUR
Agave americana,American Century Plant,no,no,yes,yes,no,no,late spring,4'-6',6'-10',"flower-or-herb,shrub",5,2,7,9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGAM,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGAM,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGAM,https://plants.usda.gov/plant-profile/AGAM,https://en.wikipedia.org/wiki/Agave_americana,https://www.wildflower.org/plants/result.php?id_plant=AGAM
Agave chrysantha,Goldenflower Century Plant,no,yes,yes,yes,yes,no,late spring,6'-10',6'-10',"flower-or-herb,shrub",7,5,6,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGCH2,https://plants.usda.gov/plant-profile/AGCH2,https://en.wikipedia.org/wiki/Agave_chrysantha,https://www.wildflower.org/plants/result.php?id_plant=AGCH2
Agave deserti,Desert Agave,no,no,yes,yes,no,no,late spring,4'-6',4'-6',"flower-or-herb,shrub",7,5,2,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGDE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGDE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGDE,https://plants.usda.gov/plant-profile/AGDE,https://en.wikipedia.org/wiki/Agave_deserti,https://www.wildflower.org/plants/result.php?id_plant=AGDE
Agave havardiana,Havard's Century Plant,no,no,yes,yes,no,no,late spring,6'-10',6'-10',"flower-or-herb,shrub",7,2,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGHA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGHA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGHA,https://plants.usda.gov/plant-profile/AGHA,https://en.wikipedia.org/wiki/Agave_havardiana,https://www.wildflower.org/plants/result.php?id_plant=AGHA
Agave lechuguilla,Lechuguilla,no,no,yes,yes,no,no,N/A,2'-3',2'-3',"flower-or-herb,shrub",3,2,9,9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGLE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGLE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGLE,https://plants.usda.gov/plant-profile/AGLE,https://en.wikipedia.org/wiki/Agave_lechuguilla,https://www.wildflower.org/plants/result.php?id_plant=AGLE
Agave palmeri,Palmer's Century Plant,no,yes,yes,yes,no,no,N/A,4'-6',4'-6',"flower-or-herb,shrub",5,5,8,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPA3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPA3,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGPA3,https://plants.usda.gov/plant-profile/AGPA3,https://en.wikipedia.org/wiki/Agave_palmeri,https://www.wildflower.org/plants/result.php?id_plant=AGPA3
Agave parryi,Parry's Agave,no,no,yes,yes,no,no,late spring,3'-5',3'-5',"flower-or-herb,shrub",5,7,2,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPA4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGPA4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGPA4,https://plants.usda.gov/plant-profile/AGPA4,https://en.wikipedia.org/wiki/Agave_parryi,https://www.wildflower.org/plants/result.php?id_plant=AGPA4
Agave parviflora,Smallflower Century Plant,no,yes,yes,yes,yes,no,late spring,1'-3',2'-3',"flower-or-herb,shrub",4,2,4,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGPA5,https://plants.usda.gov/plant-profile/AGPA5,https://en.wikipedia.org/wiki/Agave_parviflora,https://www.wildflower.org/plants/result.php?id_plant=AGPA5
Agave schottii,Schott's Century Plant,no,yes,yes,yes,yes,no,late spring,3'-5',3'-5',"flower-or-herb,shrub",5,5,6,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGSC3,https://plants.usda.gov/plant-profile/AGSC3,https://en.wikipedia.org/wiki/Agave_schottii,https://www.wildflower.org/plants/result.php?id_plant=AGSC3
Agave shawii,Coastal Agave,no,no,yes,yes,no,no,late spring,3'-5',4'-6',"flower-or-herb,shrub",8,8,2,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGSH,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGSH,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGSH,https://plants.usda.gov/plant-profile/AGSH,https://en.wikipedia.org/wiki/Agave_shawii,https://www.wildflower.org/plants/result.php?id_plant=AGSH
Agave toumeyana,Toumey's Century Plant,no,yes,yes,yes,yes,no,late spring,3'-5',4'-6',"flower-or-herb,shrub",5,3,5,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGTO,https://plants.usda.gov/plant-profile/AGTO,https://en.wikipedia.org/wiki/Agave_toumeyana,https://www.wildflower.org/plants/result.php?id_plant=AGTO
Agave utahensis,Utah Agave,no,no,yes,yes,no,no,late spring,3'-5',3'-5',"flower-or-herb,shrub",4,7,4,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGUT,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGUT,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGUT,https://plants.usda.gov/plant-profile/AGUT,https://en.wikipedia.org/wiki/Agave_utahensis,https://www.wildflower.org/plants/result.php?id_plant=AGUT
Ageratina altissima,White Snakeroot,no,yes,yes,yes,yes,no,late summer,2'-4',2'-3',flower-or-herb,5,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGAL5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGAL5,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGAL5,https://plants.usda.gov/plant-profile/AGAL5,https://en.wikipedia.org/wiki/Ageratina_altissima,https://www.wildflower.org/plants/result.php?id_plant=AGAL5
Ageratina jucunda,Hammock Snakeroot,no,yes,yes,no,yes,no,late summer,2'-4',"18""-24""",flower-or-herb,7,5,8,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGJU2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AGJU2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGJU2,https://plants.usda.gov/plant-profile/AGJU2,https://en.wikipedia.org/wiki/Ageratina_jucunda,https://www.wildflower.org/plants/result.php?id_plant=AGJU2
Agoseris grandiflora,Bigflower Agoseris,no,yes,yes,no,yes,no,late spring,"12""-24""","12""-18""",flower-or-herb,7,4,5,6,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AGGR,https://plants.usda.gov/plant-profile/AGGR,https://en.wikipedia.org/wiki/Agoseris_grandiflora,https://www.wildflower.org/plants/result.php?id_plant=AGGR
Agropyron smithii,Western Wheatgrass,no,yes,yes,no,yes,no,late spring,1'-3',"12""-24""",grass,5,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=PASM,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=PASM,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=PASM,https://plants.usda.gov/plant-profile/PASM,https://en.wikipedia.org/wiki/Agropyron_smithii,https://www.wildflower.org/plants/result.php?id_plant=PASM
Allium cernuum,Nodding Onion,no,no,yes,no,yes,no,late spring,"12""-24""","12""-18""",flower-or-herb,6,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ALCE2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ALCE2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ALCE2,https://plants.usda.gov/plant-profile/ALCE2,https://en.wikipedia.org/wiki/Allium_cernuum,https://www.wildflower.org/plants/result.php?id_plant=ALCE2
Allium unifolium,Oneleaf Onion,no,yes,yes,no,yes,no,late spring,"12""-24""","12""-18""",flower-or-herb,5,3,6,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ALUN,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ALUN,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ALUN,https://plants.usda.gov/plant-profile/ALUN,https://en.wikipedia.org/wiki/Allium_unifolium,https://www.wildflower.org/plants/result.php?id_plant=ALUN
